timestamp,tvlUSD,tvlETH,BTC,ETH,DAI,date
1615507200,43058216877,23568876.88884509,130674.00356314999,8865286.619078156,1591767276.0667937,2021-03-12
1615420800,42560961018,23688802.628195487,130036.27988693993,8858125.76947916,1589386893.0563116,2021-03-11
1615334400,43475330899,23240637.475008816,131608.67721073996,8752482.552465156,1629577081.2957127,2021-03-10
1615248000,41943245114,22908289.33760077,130379.11378839002,8701853.59789016,1659953741.04918,2021-03-09
1615161600,40206374289,23306962.163493868,129378.19341710996,8764613.540057156,1629228998.0827665,2021-03-08
1615075200,42006953543,25437022.630963843,152637.73093685994,8945936.320455154,1585898845.4079726,2021-03-07
1614988800,40695244076,26615768.628964223,153626.49360395,8994816.157309156,1536849245.0020857,2021-03-06
1614902400,40742240847,26460124.205720372,154717.84657422994,8965935.804915156,1552185927.545261,2021-03-05
1614816000,41865362717,26642248.40236988,154998.97923941002,8892347.012936156,1546945729.8474364,2021-03-04
1614729600,40313599763,27051568.369736623,154330.52683799,8924061.182039157,1531176050.795872,2021-03-03
1614643200,40416017917,25731869.352374163,153228.12469387,8779466.52618916,1484967585.9554875,2021-03-02
1614556800,37339083006,26299573.87586635,154312.44595723,8870351.848318158,1373661177.0424623,2021-03-01
1614470400,37911265141,25947958.756373845,154990.67886740997,8862469.214145157,1315341873.586432,2021-02-28
1614384000,37204321427,25742837.767690957,193554.90576516002,8786000.369471675,1314639148.1389875,2021-02-27
1614297600,38013170575,25756623.646551844,156563.94421186,8851321.18609067,1335542848.6344352,2021-02-26
1614211200,40346594614,24831576.99300226,155296.59969352002,8779433.296834672,1353084237.901387,2021-02-25
1614124800,38686758125,24536537.150377367,155305.04563950002,8725548.101255674,1281163120.6978498,2021-02-24
1614038400,43514824876,24455873.522469256,156418.34841430004,8748384.275888672,1436379734.0697522,2021-02-23
1613952000,46149262555,23820572.505510047,155701.86952137004,8695370.099757675,1521914223.920707,2021-02-22
1613865600,45712390916,23805685.212708894,158726.43869772,8698234.533392673,1518652742.4062433,2021-02-21
1613779200,45410878333,23195205.93992143,158561.98426290005,8612804.561632672,1505809527.8070047,2021-02-20
1613692800,44933414473,23145566.708047014,161668.27001778997,8612697.116975674,1535128221.5170808,2021-02-19
1613606400,44184663078,23864896.74471361,157319.49165093995,8692338.307260675,1326830567.5949607,2021-02-18
1613520000,42923442555,24072909.803932566,156989.38918260997,8670965.84349267,1300488877.8369393,2021-02-17
1613433600,42888777555,24101047.211638965,158051.40060214,8702956.50806467,1188369466.8653421,2021-02-16
1613347200,43361427560,24029474.793711316,157684.34683887998,8670882.005894674,1136852960.1472013,2021-02-15
1613260800,43712206353,24056688.78291737,158438.62878419,8722156.418155674,1170452458.037705,2021-02-14
1613174400,44696262365,24213804.845874637,158787.56869117,8699296.31269167,1172069230.3543973,2021-02-13
1613088000,43482755613,24319350.562922616,156799.33073923,8721867.06572467,1143752914.9026182,2021-02-12
1613001600,41634308209,23880277.269911554,159595.38521255,8673021.125444064,1088923689.9692638,2021-02-11
1538870400,212425901,945712.3185824947,8570.920669359999,873707.6589875619,191205.1482456287,2018-10-07
1538784000,215258867,944532.1061869242,8474.36866534,874148.5154048761,193417.7837101891,2018-10-06
1538697600,208877812,941909.3253968253,8354.97213044,871179.2756671273,189424.5425073121,2018-10-05
1538611200,206396608,938294.3492294403,8449.252070449998,867539.410249004,179481.9251424349,2018-10-04
1538524800,210227627,932604.1478129711,8415.62807829,864844.5015994235,175495.2950688398,2018-10-03
1538438400,214580839,929323.6855781722,10515.56229529,864142.801016304,171344.104369033,2018-10-02
1538352000,216040494,928806.9389509887,10471.34244129,863225.1056330543,186170.6771382308,2018-10-01
1538265600,215060917,929711.7283416913,10467.336317289999,863540.8086058586,186765.7447051038,2018-09-30
1538179200,206094673,930198.0185954144,10417.39021929,863051.4668383843,187755.9384117878,2018-09-29
1538092800,211470309,923088.3451918459,12351.68358829,862670.5493021253,185176.6427937585,2018-09-28
1538006400,197355567,921318.1784230428,12970.81897129,862475.195692875,185516.2469682453,2018-09-27
1537920000,200575746,915035.3375912409,12941.631138440001,852000.7216818803,186274.7592368167,2018-09-26
1537833600,203238993,891711.9734994737,12990.12582619,832429.1063235003,185459.3346984872,2018-09-25
1537747200,216910076,886976.3892864444,12991.970840389999,829246.2143694875,183685.1383235711,2018-09-24
1537660800,213461887,886543.2635600964,12991.14171582,826950.1006323653,186662.9704777504,2018-09-23
1537574400,218694935,882938.0879324963,13063.7056245,824187.0973962512,187031.2568608042,2018-09-22
1537488000,199701062,888508.0174408257,13250.89347943,823710.0473972338,188592.9528850662,2018-09-21
1537401600,186510085,889074.673467442,13255.325624579998,823309.1320471774,188047.1512104202,2018-09-20
1537315200,184954799,887541.6238783051,15176.21271027,823063.0862536306,184337.1858886858,2018-09-19
1537228800,174033502,887744.8581922057,16123.2361029,821544.5166954343,186569.966016391,2018-09-18
1537142400,189954707,862959.7810285299,16170.474047110001,802682.0835313041,182210.5104094523,2018-09-17
1537056000,191092152,862251.3852540384,16322.64001768,800077.4987122429,181538.015568584,2018-09-16
1536969600,179784064,860746.2249245944,16725.39267222,795346.5082924719,184786.1576123641,2018-09-15
1536883200,180436801,854057.8454110853,16754.672917519998,789733.5343740664,190262.1360423235,2018-09-14
1536796800,156799495,856687.4009725181,16757.420053589998,786521.3188784431,187950.7436082286,2018-09-13
1536710400,153120229,827006.3678098839,17315.48568701,759429.4802969411,191647.2480630182,2018-09-12
1536624000,153777841,780083.4018160604,17779.52291119,718443.9644662478,183964.3185686636,2018-09-11
1536537600,145792039,743874.8864737997,17739.77098065,682947.1304770011,177741.3647065597,2018-09-10
1536451200,138545111,704096.7169792143,17884.093053369998,643660.4263062292,177616.6532081823,2018-09-09
1536364800,139095514,646534.8796132749,17851.628406519998,590345.0202706207,172274.6206230476,2018-09-08
1536278400,137659327,599666.0001742464,15108.16665027,544068.2619789367,181705.3345816092,2018-09-07
1536192000,140767634,616671.6344679545,15101.78449256,561660.476711383,182148.2620548198,2018-09-06
1536105600,172350784,604251.9510570418,15221.93121094,555465.719911951,178129.3573793499,2018-09-05
1536019200,175215901,606346.3369899989,15230.98752121,552948.6631917404,179527.366918332,2018-09-04
1535932800,180999875,613517.3039115992,15221.07928773,552694.6687457043,165366.7582980845,2018-09-03
1535846400,181561342,614712.0192307692,15481.30974162,552016.522697112,166304.960219525,2018-09-02
1535760000,171377063,608475.2813775963,15490.406216180001,548820.7952336926,168242.3250377755,2018-09-01
1535673600,172760720,607991.2722153792,15447.65039318,548474.3962620716,165564.3803870447,2018-08-31
1535587200,175821755,609075.2589462014,15426.070914169999,548053.1349956952,166814.0680712409,2018-08-30
